site,tested_url,ref_url,tested_date,country,data collection,comment
amygoodloe.com,http://amygoodloe.com/lesbian-dot-org/,https://api.ooni.io/files/download/20171030T044244Z-AE-AS15802-web_connectivity-20171030T044245Z_AS15802_UbHHX0aQttUt5BX7iVBGKpXpiPbwm0CMyUDVNAUPK7M0Zdmoie-0.2.0-probe.json,2017-10-30,AE,Planet NS,
amygoodloe.com,http://amygoodloe.com/lesbian-dot-org/,https://api.ooni.io/files/download/20171020T035448Z-AE-AS15802-web_connectivity-20171020T035448Z_AS15802_kGE9xcBYd0SCucdHTCsBwoViYm1HuUigplPRlo1pgFW5VftF0I-0.2.0-probe.json,2017-10-20,AE,Planet NS,
amygoodloe.com,http://amygoodloe.com/lesbian-dot-org/,https://api.ooni.io/files/download/20171017T054143Z-AE-AS15802-web_connectivity-20171017T054144Z_AS15802_8DzoPqgelJK7g0T82aV1BVyChloNiglxgx9UcLo6lbhLXtCVcY-0.2.0-probe.json,2017-10-17,AE,Planet NS,
amygoodloe.com,http://amygoodloe.com/lesbian-dot-org/,https://api.ooni.io/files/download/20171022T054102Z-AE-AS15802-web_connectivity-20171022T054101Z_AS15802_n6VPgCZSYDBvKXK3YFVtNKenOTHIEbueXikIYXnMjzo5WFKgNC-0.2.0-probe.json,2017-10-22,AE,Planet NS,
amygoodloe.com,http://amygoodloe.com/lesbian-dot-org/,https://api.ooni.io/files/download/20171023T060024Z-AE-AS15802-web_connectivity-20171023T060025Z_AS15802_QV2rajKKUBiw5yfeG6CRZoaPoHtAuCG6O70kQ1v8Clg5dbpWVq-0.2.0-probe.json,2017-10-23,AE,Planet NS,
amygoodloe.com,http://amygoodloe.com/lesbian-dot-org/,https://api.ooni.io/files/download/20171011T043228Z-AE-AS15802-web_connectivity-20171011T043231Z_AS15802_PtIRnNRmVfJt3CIJzaLflNR8XqD0zToQ1KM3mzRz8xPBYCD0vm-0.2.0-probe.json,2017-10-11,AE,Planet NS,
amygoodloe.com,http://amygoodloe.com/lesbian-dot-org/,https://api.ooni.io/files/download/20171115T082956Z-AE-AS15802-web_connectivity-20171115T082957Z_AS15802_xSKAdKyEZk87YQwVTu1xEyqbo1VR8UffpbjV1bMY1h56XqZXMK-0.2.0-probe.json,2017-11-15,AE,Planet NS,
amygoodloe.com,http://amygoodloe.com/lesbian-dot-org/,https://api.ooni.io/files/download/20171105T032730Z-AE-AS15802-web_connectivity-20171105T032733Z_AS15802_HaY0S8nTvD8xcK50zBOzcdDFCLiqhjVRFAFhPnUowVNv582Tp6-0.2.0-probe.json,2017-11-05,AE,Planet NS,
amygoodloe.com,http://amygoodloe.com/lesbian-dot-org/,https://api.ooni.io/files/download/20171015T114548Z-AE-AS15802-web_connectivity-20171015T114550Z_AS15802_WRcbMferqtNR4sPY1QSVXHILvFjnz3t8xjA7idWr8M0o3545pL-0.2.0-probe.json,2017-10-15,AE,Planet NS,
amygoodloe.com,http://amygoodloe.com/lesbian-dot-org/,https://api.ooni.io/files/download/20171014T144656Z-AE-AS15802-web_connectivity-20171014T144658Z_AS15802_0dNUQzuNwAkkfeLQzljYCMERYzbazu1f54O0CriBbb5mMCfvOz-0.2.0-probe.json,2017-10-14,AE,Planet NS,
amygoodloe.com,http://amygoodloe.com/lesbian-dot-org/,https://api.ooni.io/files/download/20171113T163817Z-AE-AS15802-web_connectivity-20171113T163818Z_AS15802_R5mQ4pe7KrWjWkGUtkY7sqED588BK2Yadia6qeyBs1GiWOm6xj-0.2.0-probe.json,2017-11-13,AE,Planet NS,
amygoodloe.com,http://amygoodloe.com/lesbian-dot-org/,https://api.ooni.io/files/download/20171106T091308Z-AE-AS15802-web_connectivity-20171106T091309Z_AS15802_eWpgXfeLf2KYVuTEnEmdkpAb8tAwxvAQra606EWsQgId86SfR0-0.2.0-probe.json,2017-11-06,AE,Planet NS,
amygoodloe.com,http://amygoodloe.com/lesbian-dot-org/,https://api.ooni.io/files/download/20171027T142435Z-AE-AS15802-web_connectivity-20171027T142436Z_AS15802_baXJ6iS5rKctaHme4iDGgaVOvDrCeD0IRNcID0lDR6cSGov6IB-0.2.0-probe.json,2017-10-27,AE,Planet NS,
